name,strength,price_byn
BJORN TRON 55k,2%,30
RICK and MORTY The Anime 15000,2%,23
RETURNS PULSE,15000 затяжек,19
VOZOL VISTA,50mg / 40000 затяжек,30
VOZOL RAVE,50mg / 40000 затяжек,30
GTMBAR TURBO 30000,5%,26
ELF BAR DUKE 20000,2%,32
ELF BAR GH 23000 (Оригинал),5%,31
