name,strength,price_byn
ICEBERG,75mg,11
NIC,200mg,11
DUALL,200mg,11
АНАРХИЯ,150mg,11
ЗЛАЯ МОНАШКА,120mg,11
САМОУБИЙЦА,249mg,11
САМОУБИЙЦА (вариант 2),249mg,11
МОНАШКА & ISTERIKA,201mg,11
DRYMOST,150mg,11
DRYMOST VOLT,75mg,11
DRYMOST,50mg,10
DRYMOST CLASSIC,25mg,10
DRYMOST,5mg,10
HOT SPOT x ISTERIKA,180mg,10.5
ISTERIKA x ГРЕХ,190mg,10.5
ICEBURN White Portion,,10
ICEBURN Ice Cool,,10
