name,detail,price_byn
BRUSKO DABBLER NICE,650 мАч,8
VAPORESSO XROS 6,1800 мАч,75
VAPORESSO XROS 6 MINI,1600 мАч,55
VAPORESSO XROS 5 NANO,1600 мАч,74
